                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.66409,                0.40778,                0.85816,                0.52993,                0.40851,                0.42614,                0.24023,                 1.2249,                0.76689,                 1.0306,               0.004951,               0.004951,               0.004951
                    104,                 0.6602,                0.40554,                0.85778,                0.53146,                0.40723,                0.42661,                0.24034,                 1.2245,                0.76674,                 1.0303,              0.0049015,              0.0049015,              0.0049015
                    105,                0.66027,                0.40519,                0.85739,                0.53394,                0.41015,                0.42709,                0.24081,                 1.2243,                0.76622,                   1.03,               0.004852,               0.004852,               0.004852
                    106,                0.65863,                0.40477,                0.85631,                0.53609,                0.41003,                0.42702,                0.24112,                 1.2238,                 0.7659,                 1.0297,              0.0048025,              0.0048025,              0.0048025
                    107,                0.66062,                0.40512,                0.85836,                0.53892,                0.41192,                0.42763,                0.24152,                 1.2236,                0.76542,                 1.0296,               0.004753,               0.004753,               0.004753
                    108,                0.65888,                0.40366,                0.85711,                0.53495,                0.41221,                  0.428,                0.24148,                 1.2233,                0.76477,                 1.0294,              0.0047035,              0.0047035,              0.0047035
                    109,                0.65248,                0.39975,                 0.8559,                0.53731,                0.41795,                0.42859,                0.24128,                  1.223,                0.76465,                 1.0292,               0.004654,               0.004654,               0.004654
                    110,                0.65248,                0.39974,                0.85536,                 0.5381,                0.41713,                0.42872,                0.24221,                 1.2228,                0.76405,                 1.0291,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.6489,                0.39847,                0.85532,                0.53408,                0.42096,                0.42916,                 0.2425,                 1.2228,                0.76395,                  1.029,               0.004555,               0.004555,               0.004555
                    112,                0.65141,                  0.399,                0.85599,                 0.5395,                0.41931,                 0.4297,                0.24259,                 1.2227,                0.76374,                 1.0289,              0.0045055,              0.0045055,              0.0045055
                    113,                 0.6472,                0.39804,                0.85456,                0.54039,                0.41528,                0.42971,                0.24278,                 1.2227,                0.76362,                 1.0288,               0.004456,               0.004456,               0.004456
                    114,                0.64572,                0.39607,                0.85419,                0.53499,                0.42567,                0.42953,                  0.243,                 1.2224,                0.76344,                 1.0287,              0.0044065,              0.0044065,              0.0044065
                    115,                0.64503,                0.39679,                0.85549,                0.52883,                0.42406,                0.42773,                0.24236,                 1.2226,                0.76386,                 1.0288,               0.004357,               0.004357,               0.004357
                    116,                0.64344,                0.39389,                0.85394,                0.52713,                0.42437,                0.42817,                0.24283,                 1.2227,                 0.7638,                 1.0287,              0.0043075,              0.0043075,              0.0043075
                    117,                0.63884,                 0.3923,                  0.853,                0.52588,                 0.4249,                0.42863,                0.24282,                 1.2228,                0.76349,                 1.0287,               0.004258,               0.004258,               0.004258
                    118,                0.64139,                0.39366,                0.85268,                0.52774,                0.42289,                 0.4288,                0.24301,                 1.2226,                0.76358,                 1.0285,              0.0042085,              0.0042085,              0.0042085
                    119,                0.63924,                 0.3924,                0.85341,                0.52554,                0.41978,                0.42931,                0.24336,                 1.2223,                0.76336,                 1.0283,               0.004159,               0.004159,               0.004159
                    120,                  0.638,                0.39145,                0.85221,                0.52482,                0.41942,                0.42929,                0.24313,                 1.2224,                0.76333,                 1.0283,              0.0041095,              0.0041095,              0.0041095
                    121,                0.63438,                0.38838,                0.85279,                0.52652,                0.41775,                0.43075,                0.24356,                 1.2222,                0.76317,                 1.0282,                0.00406,                0.00406,                0.00406
                    122,                0.63198,                0.38824,                0.85114,                0.52343,                0.41803,                0.43032,                0.24342,                 1.2221,                0.76302,                 1.0282,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.6288,                0.38645,                0.85065,                0.52431,                 0.4189,                 0.4302,                0.24303,                 1.2222,                0.76294,                 1.0282,               0.003961,               0.003961,               0.003961
                    124,                0.62894,                0.38604,                0.85003,                0.52305,                0.42069,                0.43048,                0.24342,                  1.222,                0.76268,                 1.0281,              0.0039115,              0.0039115,              0.0039115
                    125,                0.62211,                0.38208,                0.84879,                0.52893,                0.41184,                0.43014,                0.24345,                 1.2221,                0.76286,                  1.028,               0.003862,               0.003862,               0.003862
                    126,                0.62681,                0.38364,                0.84882,                0.51996,                0.41839,                0.43034,                0.24363,                  1.222,                0.76266,                 1.0279,              0.0038125,              0.0038125,              0.0038125
                    127,                0.62324,                0.38287,                0.84977,                0.52725,                0.41402,                0.43059,                0.24371,                 1.2218,                0.76213,                 1.0278,               0.003763,               0.003763,               0.003763
                    128,                0.62106,                0.38069,                0.84877,                0.53216,                0.41135,                0.43032,                0.24351,                 1.2217,                0.76224,                 1.0277,              0.0037135,              0.0037135,              0.0037135
                    129,                0.62024,                 0.3815,                0.84974,                0.52869,                0.41496,                0.43036,                0.24354,                 1.2215,                0.76228,                 1.0277,               0.003664,               0.003664,               0.003664
                    130,                0.61713,                 0.3788,                0.84793,                0.53113,                0.41255,                0.43052,                0.24367,                 1.2212,                0.76208,                 1.0276,              0.0036145,              0.0036145,              0.0036145
                    131,                0.61338,                0.37804,                  0.848,                0.53091,                 0.4131,                0.43055,                0.24358,                 1.2213,                0.76219,                 1.0275,               0.003565,               0.003565,               0.003565
                    132,                0.61402,                0.37776,                0.84795,                0.53147,                0.41361,                0.43058,                0.24404,                  1.221,                0.76209,                 1.0274,              0.0035155,              0.0035155,              0.0035155
                    133,                 0.6119,                0.37591,                0.84759,                0.53066,                0.41491,                0.43063,                0.24435,                 1.2208,                0.76193,                 1.0273,               0.003466,               0.003466,               0.003466
                    134,                0.61119,                0.37609,                0.84721,                0.53342,                0.41374,                0.43092,                0.24429,                 1.2208,                0.76201,                 1.0272,              0.0034165,              0.0034165,              0.0034165
                    135,                0.60927,                0.37427,                0.84701,                0.53463,                0.41234,                 0.4309,                0.24483,                 1.2205,                0.76181,                 1.0271,               0.003367,               0.003367,               0.003367
                    136,                0.60988,                0.37526,                0.84811,                0.53228,                0.41514,                0.43061,                0.24463,                 1.2203,                0.76176,                  1.027,              0.0033175,              0.0033175,              0.0033175
                    137,                0.60566,                0.37343,                0.84681,                0.55415,                0.40526,                0.43043,                0.24438,                 1.2208,                0.76196,                 1.0271,               0.003268,               0.003268,               0.003268
                    138,                0.60556,                 0.3727,                0.84587,                0.55258,                0.40626,                0.43074,                0.24484,                 1.2209,                 0.7621,                 1.0272,              0.0032185,              0.0032185,              0.0032185
                    139,                0.60155,                0.37034,                0.84424,                0.55176,                0.40702,                 0.4307,                0.24503,                 1.2211,                  0.762,                 1.0273,               0.003169,               0.003169,               0.003169
                    140,                0.59984,                0.36946,                0.84542,                0.55341,                0.40656,                  0.431,                0.24509,                 1.2209,                0.76221,                 1.0272,              0.0031195,              0.0031195,              0.0031195
                    141,                0.60199,                0.36945,                0.84585,                0.55084,                0.40723,                  0.431,                0.24465,                 1.2208,                0.76243,                  1.027,                0.00307,                0.00307,                0.00307
                    142,                0.59576,                0.36677,                 0.8442,                 0.5441,                0.40743,                0.42974,                 0.2447,                 1.2206,                0.76208,                  1.027,              0.0030205,              0.0030205,              0.0030205
                    143,                0.59589,                0.36693,                 0.8439,                0.54182,                0.40925,                0.42983,                0.24448,                 1.2204,                0.76203,                 1.0269,               0.002971,               0.002971,               0.002971
                    144,                0.59589,                0.36678,                0.84471,                0.53541,                0.41078,                0.42967,                0.24411,                 1.2205,                0.76178,                 1.0268,              0.0029215,              0.0029215,              0.0029215
                    145,                0.59487,                0.36558,                0.84268,                0.53726,                0.41034,                0.42947,                0.24411,                 1.2205,                0.76213,                 1.0268,               0.002872,               0.002872,               0.002872
                    146,                0.58961,                0.36478,                0.84202,                0.54129,                0.41141,                0.43068,                 0.2441,                 1.2206,                0.76206,                 1.0268,              0.0028225,              0.0028225,              0.0028225
                    147,                0.59104,                0.36394,                 0.8429,                0.54757,                0.41003,                0.43044,                0.24404,                 1.2205,                0.76257,                 1.0267,               0.002773,               0.002773,               0.002773
                    148,                0.58778,                0.36155,                0.84243,                  0.543,                  0.411,                0.42953,                0.24404,                 1.2203,                0.76268,                 1.0265,              0.0027235,              0.0027235,              0.0027235
                    149,                0.58361,                0.36002,                0.84193,                0.54101,                0.41121,                 0.4297,                0.24399,                 1.2205,                0.76276,                 1.0265,               0.002674,               0.002674,               0.002674
                    150,                0.58159,                0.35875,                0.84132,                0.53857,                0.40929,                0.42912,                0.24429,                 1.2204,                0.76281,                 1.0265,              0.0026245,              0.0026245,              0.0026245
                    151,                0.58221,                0.35926,                0.84198,                0.53826,                0.40941,                0.42801,                0.24395,                 1.2205,                0.76291,                 1.0264,               0.002575,               0.002575,               0.002575
                    152,                0.58073,                0.35819,                0.84028,                0.53941,                 0.4087,                0.42804,                0.24407,                 1.2203,                0.76274,                 1.0262,              0.0025255,              0.0025255,              0.0025255
                    153,                0.57638,                0.35556,                0.84146,                0.53309,                0.40793,                0.42792,                0.24409,                 1.2208,                0.76346,                 1.0263,               0.002476,               0.002476,               0.002476
                    154,                0.57849,                0.35759,                0.83998,                0.53018,                0.40802,                0.42749,                 0.2441,                 1.2207,                 0.7636,                 1.0263,              0.0024265,              0.0024265,              0.0024265
