                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.2708,                0.83765,                 1.0019,                0.56607,                0.38935,                0.43845,                0.25593,                 1.1621,                0.80004,                0.97192,               0.004753,               0.004753,               0.004753
                    108,                 1.2701,                0.83615,                 1.0006,                0.56886,                0.38929,                0.43864,                0.25667,                 1.1617,                0.79973,                0.97186,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2652,                0.83337,                 1.0006,                0.56154,                0.39236,                0.43846,                0.25603,                 1.1615,                0.79938,                0.97174,               0.004654,               0.004654,               0.004654
                    110,                 1.2654,                0.83316,                0.99904,                0.56188,                0.39251,                0.43855,                0.25614,                 1.1611,                0.79912,                0.97169,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2611,                0.82943,                0.99851,                0.56146,                0.39653,                 0.4385,                0.25638,                 1.1606,                0.79895,                 0.9714,               0.004555,               0.004555,               0.004555
                    112,                 1.2606,                0.82707,                 1.0002,                0.55906,                0.39752,                0.43841,                0.25636,                 1.1608,                 0.7987,                0.97124,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2614,                0.83002,                0.99959,                0.55574,                0.39704,                0.43819,                0.25573,                 1.1606,                0.79858,                0.97111,               0.004456,               0.004456,               0.004456
                    114,                 1.2632,                0.82834,                0.99737,                0.55259,                0.39982,                0.43857,                0.25571,                 1.1602,                0.79837,                0.97101,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2555,                0.82501,                0.99734,                0.55416,                0.40148,                0.43902,                0.25592,                 1.1599,                0.79794,                0.97081,               0.004357,               0.004357,               0.004357
                    116,                 1.2547,                0.82166,                 0.9957,                0.55351,                0.40172,                0.43914,                0.25622,                 1.1596,                0.79748,                0.97071,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.2559,                0.82219,                0.99716,                0.55347,                0.40175,                0.43904,                0.25557,                  1.159,                0.79727,                0.97049,               0.004258,               0.004258,               0.004258
                    118,                 1.2539,                 0.8241,                0.99674,                0.54758,                0.40339,                0.43916,                0.25569,                 1.1587,                0.79728,                0.97042,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.2509,                0.82103,                0.99488,                0.54952,                0.40222,                0.43935,                0.25603,                 1.1585,                0.79685,                0.97025,               0.004159,               0.004159,               0.004159
                    120,                 1.2559,                0.82192,                0.99644,                0.55392,                0.40227,                0.43989,                0.25616,                 1.1583,                0.79676,                0.97008,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.2562,                0.81854,                 0.9941,                0.55218,                0.40187,                0.44041,                0.25697,                 1.1582,                 0.7962,                0.96997,                0.00406,                0.00406,                0.00406
                    122,                   1.25,                0.81926,                0.99555,                0.55134,                0.40186,                0.44054,                 0.2572,                 1.1578,                0.79589,                0.96985,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.2491,                0.81725,                0.99366,                0.55473,                0.40116,                0.44084,                 0.2574,                 1.1575,                0.79589,                0.96971,               0.003961,               0.003961,               0.003961
                    124,                 1.2487,                0.81451,                0.99434,                0.55306,                0.40168,                 0.4408,                0.25727,                 1.1576,                0.79573,                 0.9697,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.2447,                 0.8123,                  0.991,                0.55032,                0.40227,                0.44047,                0.25711,                 1.1573,                0.79564,                0.96959,               0.003862,               0.003862,               0.003862
